Displacement,Load
0.70536,104.72929
0.70619,104.79999
0.70701,104.87426
0.70788,104.96163
0.70871,105.03286
0.70953,105.11303
0.71036,105.17919
0.71119,105.24982
0.71202,105.33405
0.71287,105.40917
0.71371,105.48638
0.71453,105.55534
0.71536,105.63029
0.7162,105.71207
0.71703,105.78228
0.71787,105.85654
0.7187,105.93492
0.71954,106.01654
0.72037,106.08968
0.7212,106.15949
0.72203,106.23946
0.72286,106.30098
0.72369,106.37539
0.72454,106.45039
0.72537,106.52993
0.72619,106.6003
0.72701,106.66966
0.72786,106.75127
0.7287,106.82616
0.72954,106.91385
0.73038,106.98257
0.73119,107.04208
0.73201,107.11591
0.73287,107.18625
0.73371,107.27127
0.73454,107.35181
0.73537,107.41199
0.73619,107.46629
0.73701,107.54718
0.73786,107.61878
0.73871,107.71073
0.73954,107.76522
0.74037,107.83841
0.74119,107.91167
0.74202,107.97822
0.74287,108.05468
0.74371,108.1271
0.74454,108.18541
0.74536,108.25525
0.74619,108.33036
0.74704,108.40646
0.74787,108.47197
0.7487,108.54674
0.74952,108.60004
0.75036,108.67818
0.75119,108.75954
0.75203,108.82828
0.75287,108.90725
0.75369,108.97079
0.75452,109.03592
0.75536,109.11334
0.75621,109.18157
0.75704,109.23763
0.75786,109.30408
0.75868,109.37343
0.75952,109.44329
0.76036,109.50871
0.76121,109.58274
0.76203,109.64038
0.76285,109.71281
0.76369,109.7803
0.76453,109.84402
0.76538,109.92493
0.76621,109.9846
0.76702,110.04473
0.76786,110.11246
0.76869,110.18599
0.76953,110.25942
0.77037,110.32054
0.7712,110.38534
0.77202,110.44455
0.77286,110.52104
0.7737,110.58767
0.77454,110.6577
0.77536,110.72397
0.77618,110.78164
0.77702,110.86169
0.77786,110.92587
0.7787,111.00325
0.77953,111.06641
0.78036,111.13243
0.78119,111.19482
0.78203,111.26694
0.78287,111.33041
0.78371,111.40581
0.78452,111.46039
0.78536,111.52749
0.78618,111.58246
0.78703,111.65971
0.78787,111.73688
0.7887,111.79642
0.78952,111.8552
0.79036,111.92039
0.79119,111.98433
0.79204,112.048
0.79287,112.11858
0.7937,112.16899
0.79453,112.23581
0.79536,112.31331
0.7962,112.37192
0.79703,112.43484
0.79786,112.49317
0.79869,112.55685
0.79952,112.61684
0.80037,112.69387
0.8012,112.75411
0.80203,112.80828
0.80285,112.87185
0.8037,112.94106
0.80454,113.00134
0.80537,113.0596
0.80619,113.11259
0.80702,113.17865
0.80786,113.23887
0.8087,113.30906
0.80955,113.38631
0.81037,113.44189
0.81119,113.49599
0.81202,113.55936
0.81286,113.63313
0.81371,113.70339
0.81454,113.75529
0.81536,113.80518
0.81619,113.87373
0.81702,113.93666
0.81787,114.00989
0.81872,114.07631
0.81953,114.12915
0.82035,114.17255
0.82118,114.23949
0.82202,114.30752
0.82287,114.37473
0.82371,114.44763
0.82453,114.50835
0.82535,114.55476
0.82619,114.61901
0.82703,114.67932
0.82788,114.74992
0.8287,114.80792
0.82953,114.86218
0.83036,114.91553
0.83119,114.98213
0.83203,115.03428
0.83286,115.11053
0.83369,115.15347
0.83453,115.23033
0.83536,115.27364
0.83619,115.34027
0.83703,115.39444
0.83786,115.46189
0.8387,115.51775
0.83953,115.5702
0.84037,115.62851
0.8412,115.69085
0.84202,115.73714
0.84285,115.80561
0.8437,115.86845
0.84454,115.93094
0.84537,115.98231
0.8462,116.0368
0.84702,116.10213
0.84786,116.15915
0.8487,116.22803
0.84954,116.28484
0.85037,116.34362
0.85119,116.39404
0.85203,116.45314
0.85287,116.5162
0.85371,116.57404
0.85454,116.63095
0.85536,116.68222
0.85618,116.73174
0.85702,116.79578
0.85787,116.86652
0.85871,116.92606
0.85954,116.97489
0.86036,117.03027
0.86118,117.08353
0.86203,117.14265
0.86287,117.20582
0.86371,117.27548
0.86453,117.31941
0.86536,117.37742
0.86618,117.42894
0.86703,117.50194
0.86787,117.54842
0.8687,117.6077
0.86952,117.66017
0.87035,117.7211
0.87118,117.7746
0.87203,117.84552
0.87287,117.90154
0.87369,117.9529
0.87453,117.99663
0.87536,118.06671
0.87619,118.11591
0.87703,118.16644
0.87787,118.22895
0.87871,118.2788
0.87954,118.33135
0.88037,118.39226
0.88119,118.43843
0.88202,118.48298
0.88286,118.55132
0.88371,118.60972
0.88454,118.65682
0.88537,118.71069
0.88618,118.75516
0.88702,118.8096
0.88787,118.86945
0.88871,118.93412
0.88954,118.97578
0.89036,119.02824
0.89117,119.07272
0.89202,119.13563
0.89287,119.19018
0.89371,119.25096
0.89453,119.31049
0.89535,119.34943
0.89617,119.40186
0.89702,119.46883
0.89787,119.53728
0.89872,119.59586
0.89954,119.63316
0.90036,119.68295
0.90119,119.73214
0.90203,119.79746
0.90288,119.85773
0.90371,119.89906
0.90453,119.94688
0.90535,119.99048
0.90619,120.04548
0.90704,120.09884
0.90788,120.16198
0.90871,120.20979
0.90952,120.24883
0.91036,120.30775
0.91119,120.35487
0.91204,120.41239
0.91287,120.46716
0.9137,120.5095
0.91453,120.56657
0.91536,120.60867
0.9162,120.6522
0.91703,120.71657
0.91785,120.75792
0.9187,120.81866
0.91953,120.87145
0.92036,120.91808
0.92118,120.96566
0.92202,121.02351
0.92286,121.07279
0.92371,121.1356
0.92454,121.17815
0.92535,121.22289
0.92619,121.26588
0.92703,121.32191
0.92787,121.37566
0.92871,121.44296
0.92954,121.48154
0.93035,121.51336
0.93118,121.56509
0.93202,121.62275
0.93287,121.67776
0.93372,121.72895
0.93454,121.77183
0.93535,121.80832
0.93619,121.86507
